travel_id,travel_dt,State,Rate,Miles,Deducted,Final_Mile,Reimbursement
723287-202603-6-9188129-247884-20260118,1/18/2026,IL,0.7,4.231274561976108,0,4.231274561976108,2.961892193383276
723287-202603-6-9188129-251448-20260117,1/17/2026,IL,0.7,231.10944673745473,30,201.10944673745473,140.7766127162183
723287-202603-6-9188129-251448-20260117,1/17/2026,WI,0.3,48.77568915296901,0,48.77568915296901,14.632706745890701
723287-202603-6-9188129-251448-20260118,1/18/2026,IL,0.7,4.320317346353801,0,4.320317346353801,3.0242221424476603
723287-202603-6-9188129-251851-20260118,1/18/2026,IL,0.7,235.76867259953696,30,205.76867259953696,144.03807081967585
723287-202603-6-9188129-251851-20260118,1/18/2026,IL,0.7,4.233425090908447,0,4.233425090908447,2.963397563635913
723287-202603-6-9188129-253075-20260117,1/17/2026,IL,0.7,155.1672582547561,30,125.16725825475609,87.61708077832925
723287-202603-6-9188129-253075-20260118,1/18/2026,IL,0.7,4.234206381636699,0,4.234206381636699,2.963944467145689
723287-202603-6-9188129-258926-20260118,1/18/2026,IL,0.7,0.20859566605408372,0.20859566605408372,0,0
723287-202603-6-9188129-258926-20260118,1/18/2026,IL,0.7,49.37394351619632,31.021404333945917,18.352539182250403,12.846777427575281
723287-202603-6-9188129-258926-20260119,1/19/2026,IL,0.7,49.54407862613776,30,19.54407862613776,13.680855038296432
723287-202603-6-9188129-258962-20260118,1/18/2026,IL,0.7,31.178876370360403,30,1.1788763703604026,0.8252134592522817
723287-202603-6-9188129-258962-20260122,1/22/2026,IL,0.7,31.239673890040372,30.04,1.1996738900403727,0.8397717230282609
723287-202603-6-9188129-258962-20260122,1/22/2026,IL,0.7,0.043888173265135694,0,0.043888173265135694,0.030721721285594982
723287-202603-6-9188129-258997-20260118,1/18/2026,IL,0.7,236.14853022105024,30,206.14853022105024,144.30397115473517
723287-202603-6-9188129-258997-20260118,1/18/2026,IL,0.7,4.241174457340763,0,4.241174457340763,2.9688221201385336
